,id,name,album,artist,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,popularity
0,0,Kiss Me,6 PICKS: Essential Radio Hits EP,Sixpence None The Richer,0.741,0.0736,100.004,0.0268,0.116,1.23e-06,4,0.529,3,205240,-5.661,0.455,1,24
1,1,Truly Madly Deeply,Truly Madly Completely - The Best of Savage Garden,Savage Garden,0.705,0.109,168.152,0.0311,0.43,0.0,4,0.566,0,279400,-7.569,0.781,1,61
2,2,Un-Break My Heart,The Essential Toni Braxton,Toni Braxton,0.41,0.113,109.962,0.0317,0.442,0.0,4,0.61,11,270605,-9.215,0.116,0,59
3,3,Foolish Games,Pieces Of You,Jewel,0.0735,0.0976,131.045,0.0378,0.944,0.000401,4,0.298,5,340667,-16.472,0.174,1,58
4,4,You Were Meant For Me,Pieces Of You,Jewel,0.33,0.105,111.873,0.0347,0.791,1.48e-06,4,0.582,6,254480,-7.928,0.407,1,62
5,5,Give Me One Reason,New Beginning,Tracy Chapman,0.419,0.108,100.22,0.0331,0.602,7.58e-06,4,0.608,11,268333,-10.016,0.602,1,69
6,6,Kiss From A Rose,Seal [1994],Seal,0.532,0.306,131.741,0.0309,0.684,0.0,3,0.583,10,288427,-7.11,0.223,0,74
7,7,The Sign,Greatest Hits,Ace of Base,0.828,0.0293,97.01,0.0426,0.0127,0.0683,4,0.802,4,189787,-6.366,0.946,0,58
8,8,Informer,12 Inches Of Snow,Snow,0.836,0.386,98.16,0.191,0.045,0.0,4,0.762,4,270160,-6.843,0.421,0,64
9,9,(I Can't Help) Falling in Love With You,The Very Best Of,UB40,0.837,0.142,172.455,0.0363,0.0393,0.00294,4,0.637,2,208097,-8.605,0.825,1,51
10,10,I Will Always Love You,The Bodyguard - Original Soundtrack Album,Whitney Houston,0.214,0.0839,66.98,0.0356,0.844,5.3e-06,4,0.306,4,271093,-12.518,0.108,1,76
11,11,To Be With You,Deep Cuts: The Best Of The Ballads,Mr. Big,0.419,0.0785,83.653,0.0419,0.245,0.0,4,0.696,4,208067,-7.289,0.487,1,24
12,12,Tears In Heaven,Clapton Chronicles: The Best Of Eric Clapton,Eric Clapton,0.242,0.133,153.744,0.0257,0.835,0.536,4,0.498,9,271760,-12.238,0.312,1,59
13,13,More Than Words,Extreme II - Pornograffitti,Extreme,0.129,0.114,91.769,0.0286,0.468,0.0,4,0.615,6,334107,-14.892,0.249,1,67
14,14,(Everything I Do) I Do It For You,The Best Of Me,Bryan Adams,0.465,0.0827,131.257,0.028,0.0924,2.64e-05,4,0.521,1,393827,-8.813,0.266,1,9
15,15,Listen To Your Heart,Look Sharp!,Roxette,0.583,0.111,86.063,0.0275,0.108,0.0,4,0.539,1,328093,-4.935,0.337,0,40
16,16,Nothing Compares 2 U,I Do Not Want What I Haven't Got,Sinéad O'Connor,0.574,0.105,119.917,0.0273,0.0425,2.33e-05,4,0.511,5,280040,-7.016,0.161,1,13
17,17,It Must Have Been Love,Greatest Hits,Roxette,0.652,0.256,80.609,0.0274,0.34,5.49e-05,4,0.52,5,258787,-6.655,0.722,1,38
18,18,Hold On,Wilson Phillips,Wilson Phillips,0.657,0.0497,97.8,0.0255,0.4,0.0,4,0.679,5,266867,-9.897,0.546,1,66
19,19,You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,0.896,0.0875,113.961,0.0307,0.171,0.0,4,0.618,2,300773,-5.357,0.711,1,67
20,20,Wonderwall,[What's The Story] Morning Glory,Oasis,0.849,0.13,174.428,0.0361,0.00212,0.0,4,0.412,2,258907,-5.625,0.486,1,17
21,21,Where Is My Mind?,Death To The Pixies,Pixies,0.597,0.091,81.982,0.0396,0.0177,0.000856,4,0.508,4,231667,-8.063,0.185,1,69
22,22,When I Come Around,Dookie,Green Day,0.909,0.231,97.546,0.034,0.0175,0.0,4,0.531,11,178000,-4.236,0.814,1,75
23,23,What's My Age Again?,Enema Of The State,blink-182,0.956,0.0893,157.706,0.0732,0.017,7.09e-05,4,0.403,6,148573,-7.376,0.561,1,72
24,24,What It's Like,Whitey Ford Sings The Blues,Everlast,0.556,0.0866,85.158,0.0281,0.0904,0.0334,4,0.678,0,303133,-7.423,0.405,1,18
25,25,Waterfalls,Crazysexycool,TLC,0.505,0.0777,171.798,0.0828,0.311,7.4e-05,4,0.77,1,279507,-7.345,0.757,1,74
26,26,Wannabe - Radio Edit,Spice,Spice Girls,0.864,0.162,110.008,0.0324,0.101,0.0,4,0.768,11,173027,-6.145,0.891,1,81
27,27,Under The Bridge,Greatest Hits,Red Hot Chili Peppers,0.49,0.136,84.275,0.0457,0.0168,0.000534,4,0.554,4,265507,-8.046,0.513,1,67
28,28,Two Princes,Pocket Full Of Kryptonite,Spin Doctors,0.912,0.0565,103.731,0.0601,0.00162,2.1e-06,4,0.543,7,256733,-10.71,0.836,1,75
29,29,This Is How We Do It,This Is How We Do It,Montell Jordan,0.63,0.453,103.647,0.0748,0.0159,0.0,4,0.799,0,238800,-9.279,0.772,1,66
30,30,The Distance,Fashion Nugget,Cake,0.749,0.0558,183.048,0.0891,0.00796,0.00219,4,0.463,11,179653,-8.118,0.888,0,67
31,31,Tearin' up My Heart - Radio Edit,'N Sync,*NSYNC,0.915,0.233,110.054,0.0364,0.0028,7.16e-06,4,0.686,7,211000,-4.447,0.796,1,66
32,32,She's so High,Tal Bachman,Tal Bachman,0.84,0.0998,124.269,0.0363,0.2,2.15e-06,4,0.537,9,224693,-4.626,0.211,1,72
33,33,Sex And Candy,Marcy Playground,Marcy Playground,0.558,0.106,80.511,0.0251,0.238,0.0,4,0.67,2,173493,-9.159,0.63,1,69
34,34,Santeria,Sublime (Explicit Version),Sublime,0.772,0.141,90.356,0.0427,0.0223,1.23e-06,4,0.673,1,183200,-5.246,0.585,0,24
35,35,Push,Yourself Or Someone Like You,Matchbox Twenty,0.672,0.108,168.019,0.027,0.0067,0.0,4,0.42,6,238667,-7.902,0.476,1,71
36,36,Pretty Fly (For a White Guy),Americana,The Offspring,0.898,0.0675,143.431,0.0997,0.0962,0.0,4,0.72,11,188107,-3.701,0.964,0,22
37,37,Party Up,...And Then There Was X,DMX,0.933,0.394,202.058,0.366,0.0835,0.0,4,0.534,11,268867,-3.282,0.478,1,65
38,38,Pardon Me,Make Yourself,Incubus,0.812,0.115,152.002,0.0693,0.00114,0.00333,4,0.579,1,223747,-6.509,0.278,0,69
39,39,One Week,Stunt,Barenaked Ladies,0.898,0.0917,112.845,0.0373,0.00854,0.000154,4,0.702,9,169760,-6.003,0.731,1,70
40,40,No Diggity,Another Level,Blackstreet,0.65,0.203,88.656,0.286,0.326,0.0,4,0.866,1,304600,-4.846,0.653,0,74
41,41,My Own Worst Enemy,A Place In The Sun,Lit,0.946,0.398,103.408,0.0637,0.00129,0.0,4,0.494,4,169027,-2.757,0.741,1,73
42,42,My Name Is,The Slim Shady LP (Explicit),Eminem,0.679,0.0895,85.535,0.351,0.0489,0.0,4,0.856,5,268400,-6.411,0.85,0,12
43,43,Mr. Jones,August And Everything After,Counting Crows,0.817,0.246,141.607,0.0382,0.211,1.42e-06,4,0.581,0,272507,-6.542,0.779,1,73
44,44,Meet Virginia,Train,Train,0.553,0.118,90.02,0.0486,0.0863,7.58e-06,4,0.675,7,239933,-7.775,0.594,1,67
45,45,Lovefool - Radio Edit,First Band On The Moon,The Cardigans,0.602,0.375,111.87,0.0299,0.0646,0.0,4,0.64,9,193893,-7.902,0.951,1,69
