,id,name,album,artist,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,popularity
0,0,Hanging By A Moment,No Name Face,Lifehouse,0.855,0.0716,124.578,0.0352,0.000983,0.0,4,0.531,1,216067,-4.95,0.424,1,65
1,1,Say My Name,The Writing's On The Wall,Destiny's Child,0.678,0.149,138.009,0.102,0.273,0.0,4,0.713,5,271333,-3.525,0.734,0,78
2,2,Bent,The Matchbox Twenty Collection,Matchbox Twenty,0.83,0.375,95.468,0.0386,0.0404,3.85e-06,4,0.518,6,256133,-6.814,0.527,0,46
3,3,Thong Song,Unleash The Dragon,Sisqo,0.885,0.0657,121.54,0.0614,0.132,0.000197,4,0.701,2,253733,-6.81,0.741,1,62
4,4,Kryptonite,Modern Rock Number 1's,3 Doors Down,0.866,0.15,99.021,0.0297,0.00547,1.62e-05,4,0.544,11,233933,-4.889,0.51,0,54
5,5,It's Gonna Be Me,No Strings Attached,*NSYNC,0.873,0.0372,165.071,0.071,0.0407,1.27e-06,4,0.636,0,192427,-4.672,0.908,0,66
6,6,Show Me the Meaning of Being Lonely,Millennium,Backstreet Boys,0.625,0.0765,167.998,0.0252,0.231,0.0,4,0.63,6,234960,-5.088,0.683,0,59
7,7,All The Small Things,Enema Of The State,blink-182,0.891,0.547,148.599,0.057,0.0122,0.0,4,0.439,0,168000,-4.764,0.695,1,74
8,8,You Sang To Me,Marc Anthony,Marc Anthony,0.894,0.216,165.98,0.0296,0.0103,2.66e-06,4,0.578,10,347107,-5.42,0.741,1,55
9,9,Never Let You Go - 2006 Remastered Version,A Collection,Third Eye Blind,0.928,0.0578,113.76,0.0377,0.108,0.000418,4,0.735,4,237907,-6.115,0.966,1,39
10,10,Most Girls,Can't Take Me Home,P!nk,0.745,0.0664,97.919,0.0312,0.0392,0.00321,4,0.753,11,298933,-5.698,0.692,0,52
11,11,Wonderful,"Songs From An American Movie, Vol. One: Learning How To Smile",Everclear,0.817,0.346,186.765,0.05,0.0118,8.25e-06,4,0.514,7,280813,-6.489,0.734,1,54
12,12,Otherside,Californication,Red Hot Chili Peppers,0.795,0.0756,123.229,0.0574,0.00316,0.000202,4,0.458,0,255373,-3.265,0.513,1,65
13,13,Big Pimpin',Vol. 3... Life And Times Of S. Carter,JAY Z,0.816,0.0406,138.03,0.158,0.192,0.00309,4,0.88,11,284640,-6.269,0.914,0,0
14,14,Fallin',Songs In A Minor,Alicia Keys,0.609,0.233,95.982,0.037,0.263,0.00101,3,0.653,11,210200,-7.519,0.482,0,76
15,15,Drops of Jupiter,Drops Of Jupiter,Train,0.64,0.154,79.297,0.0275,0.154,0.0,4,0.468,0,259933,-5.862,0.499,1,79
16,16,Again,Greatest Hits,Lenny Kravitz,0.82,0.161,79.155,0.0296,0.0186,4.91e-05,4,0.554,2,228933,-5.035,0.755,1,58
17,17,"Independent Women, Pt. 1",Survivor,Destiny's Child,0.602,0.169,97.954,0.206,0.362,3.69e-06,4,0.73,6,221133,-3.782,0.927,0,68
18,18,It Wasn't Me,The Boombastic Collection - Best of Shaggy,Shaggy,0.619,0.353,94.762,0.0695,0.0618,0.0,4,0.849,0,227547,-4.774,0.656,1,72
19,19,U Remind Me,8701,Usher,0.629,0.254,93.985,0.0782,0.194,0.0,4,0.657,6,266893,-4.938,0.726,1,74
20,20,If You're Gone,The Matchbox Twenty Collection,Matchbox Twenty,0.659,0.126,109.933,0.0298,0.427,1.33e-06,4,0.544,9,274933,-7.191,0.361,1,45
21,21,Where the Party At,Jagged Little Thrill,Jagged Edge,0.661,0.0847,129.491,0.226,0.31,0.0,5,0.596,5,232573,-6.239,0.86,0,67
22,22,Peaches And Cream,Part III,112,0.52,0.0532,203.862,0.334,0.00277,0.0,4,0.677,4,193093,-6.255,0.768,0,64
23,23,Butterfly,The Gift Of Game,Crazy Town,0.811,0.107,103.502,0.081,0.00132,0.000142,4,0.736,9,216733,-4.17,0.609,0,74
24,24,Fill Me In,Greatest Hits (Standard DMD),Craig David,0.742,0.0871,132.495,0.0389,0.418,0.00728,4,0.686,8,231493,-6.981,0.858,1,3
25,25,Crazy for This Girl,"Songs From Dawson's Creek, Vol. II",Evan And Jaron,0.933,0.0959,94.072,0.0368,0.000734,2.9e-05,4,0.462,0,201867,-4.851,0.386,1,42
26,26,Hot In Herre,6 Pack (Explicit Version),Nelly,0.72,0.0622,107.086,0.159,0.222,0.0,4,0.969,9,228653,-4.904,0.899,0,32
27,27,U Got It Bad,8701,Usher,0.5,0.0733,124.037,0.03,0.0227,1.53e-06,4,0.816,1,247840,-4.551,0.649,1,70
28,28,In The End,Hybrid Theory (Bonus Track Version),Linkin Park,0.9,0.322,105.213,0.0584,0.0113,0.0,4,0.553,3,219000,-4.556,0.398,0,84
29,29,Complicated,Let Go,Avril Lavigne,0.776,0.3,77.987,0.0459,0.0572,7.74e-06,4,0.585,5,244507,-5.898,0.427,1,78
30,30,The Middle,Bleed American (Deluxe Edition),Jimmy Eat World,0.897,0.263,161.944,0.0483,0.0424,0.0,4,0.629,2,168253,-3.401,0.93,1,74
