,id,name,album,artist,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,popularity
0,0,A Horse with No Name,America's Greatest Hits - History,America,0.506,0.155,123.179,0.0535,0.686,0.0155,4,0.654,11,252240,-17.18,0.831,0,58
1,1,Just the Way You Are,The Stranger (Legacy Edition),Billy Joel,0.453,0.134,139.148,0.0397,0.703,2.54e-05,4,0.589,7,290573,-8.912,0.513,1,65
2,2,(Don't Fear) The Reaper,Agents Of Fortune,Blue Öyster Cult,0.928,0.301,141.175,0.0593,0.00125,0.00111,4,0.368,9,308440,-8.369,0.532,0,20
3,3,Just What I Needed,The Cars,The Cars,0.579,0.0858,127.224,0.0473,0.0152,6.4e-05,4,0.619,4,225627,-9.307,0.69,1,70
4,4,Rock On,Best Of David Essex,David Essex,0.171,0.755,75.192,0.2,0.922,0.00775,4,0.708,1,202600,-20.71,0.619,0,46
5,5,Sultans Of Swing,Sultans Of Swing - The Very Best Of Dire Straits,Dire Straits,0.802,0.339,148.208,0.0302,0.0722,0.0348,4,0.726,5,348760,-10.059,0.925,1,41
6,6,Right Place Wrong Time,In The Right Place,Dr. John,0.494,0.144,104.593,0.0456,0.0923,0.000408,4,0.789,1,175240,-13.702,0.826,1,59
7,7,Free Ride,The Best Of Edgar Winter,The Edgar Winter Group,0.719,0.283,124.17,0.0696,0.362,0.0135,4,0.683,9,187667,-9.811,0.798,1,28
8,8,Bennie And The Jets,70's Pop Number 1's,Elton John,0.716,0.679,131.868,0.0776,0.3,3.5e-06,4,0.657,0,323453,-7.464,0.8,1,53
9,9,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road (Newly Remastered),Elton John,0.432,0.225,121.007,0.0299,0.504,0.000261,4,0.541,5,193333,-8.076,0.415,1,1
10,10,Slow Ride,Rhino Hi-Five: Foghat,Foghat,0.642,0.175,113.638,0.0487,0.00608,0.00707,4,0.449,2,494533,-10.527,0.586,1,57
11,11,All Right Now,"Music From The Motion Picture ""Now And Then""",Free,0.517,0.243,120.628,0.132,0.131,7.62e-06,4,0.762,2,328933,-12.617,0.734,1,1
12,12,Truckin' - 2001 Remastered Version,The Very Best Of Grateful Dead,Grateful Dead,0.758,0.158,127.02,0.0616,0.0725,0.00289,4,0.631,11,305360,-9.938,0.669,0,58
13,13,Remember,You've Got Mail,Harry Nilsson,0.146,0.0974,130.037,0.0327,0.946,8.8e-05,4,0.427,4,242467,-16.61,0.117,1,27
14,14,Tennessee Bird Walk,Kooky Kountry,Jack Blanchard,0.701,0.233,132.449,0.0399,0.0932,0.000232,3,0.801,0,160200,-11.358,0.944,1,8
15,15,Running On Empty,Forrest Gump - The Soundtrack,Jackson Browne,0.947,0.849,136.503,0.0576,0.0103,0.00657,4,0.527,9,294693,-4.655,0.462,1,0
16,16,Wheel in the Sky,The Essential Journey,Journey,0.764,0.126,105.694,0.06,0.068,2.42e-06,4,0.483,2,252640,-7.039,0.399,0,61
17,17,My Sharona,Get The Knack,The Knack,0.7,0.0318,147.245,0.0363,0.0589,0.00125,4,0.586,0,295400,-9.558,0.897,1,72
18,18,Bron-Yr-Aur,Physical Graffiti,Led Zeppelin,0.295,0.0946,171.668,0.0375,0.667,0.835,4,0.343,0,126373,-18.524,0.261,1,51
